                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                  1.205,                 1.4729,                 0.5801,                0.84618,                0.90214,                0.86726,                 0.9388,                0.59036,                0.81124,                0.74123,                0.81347,                0.36744,                 1.1496,                 1.4256,                0.57707,                0.85215,               0.001571,               0.001571,               0.001571
                     67,                 1.2278,                 1.5323,                0.59636,                0.85671,                0.89502,                0.84843,                0.92954,                0.55984,                0.76162,                0.70135,                0.76356,                0.31325,                 1.2814,                 1.4565,                0.59538,                0.86351,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.2197,                 1.4948,                0.59044,                0.85114,                0.88117,                0.87805,                  0.928,                0.57453,                0.78828,                 0.7561,                0.81348,                0.36805,                 1.1922,                 1.3619,                0.58751,                0.85599,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.2116,                 1.4842,                0.58696,                0.85287,                0.90743,                0.85192,                0.92758,                0.58867,                0.82314,                0.75958,                0.81496,                0.36114,                 1.1618,                 1.4122,                0.57369,                0.85646,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.1991,                 1.4798,                0.57845,                0.84853,                0.84159,                0.90706,                0.93088,                0.55993,                 0.7688,                0.70906,                 0.7439,                0.29462,                 1.2254,                    1.7,                0.59286,                0.85856,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.1926,                  1.469,                0.58028,                0.85188,                0.84858,                 0.9007,                0.92735,                0.58572,                0.80846,                0.73868,                0.80352,                0.34417,                 1.1629,                 1.3888,                0.58302,                0.85499,               0.001538,               0.001538,               0.001538
                     72,                 1.2386,                 1.5376,                0.58678,                0.85173,                0.88386,                0.86237,                0.92899,                0.57972,                0.78118,                0.73391,                 0.7917,                0.36768,                 1.1656,                 1.3964,                 0.5747,                0.85175,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.2159,                  1.484,                 0.5868,                 0.8493,                0.87617,                0.87979,                0.93153,                0.56065,                0.74491,                0.72243,                0.76263,                0.31467,                 1.2631,                 1.6313,                0.58074,                0.86789,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.2211,                 1.4804,                0.58294,                0.85002,                0.88695,                0.90207,                0.93906,                0.59935,                0.76543,                0.75261,                0.78468,                0.34162,                 1.1506,                 1.4272,                0.56249,                0.85372,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.1686,                 1.4309,                0.56399,                0.84809,                 0.9105,                0.86844,                0.93709,                0.57617,                0.77017,                0.72125,                0.75798,                0.29786,                  1.216,                 1.3959,                0.56949,                0.86344,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.1817,                 1.4221,                0.56663,                0.84763,                0.89969,                 0.8554,                0.93393,                0.57477,                0.79346,                0.73519,                0.78401,                0.32247,                 1.1715,                 1.4705,                0.59238,                0.85634,               0.001505,               0.001505,               0.001505
                     77,                 1.1981,                 1.4434,                  0.579,                 0.8461,                0.87647,                 0.8885,                0.93841,                0.56547,                0.76148,                0.72306,                0.76721,                0.33252,                 1.2225,                 1.4633,                0.58788,                0.86071,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.1946,                 1.4433,                0.57103,                0.84767,                0.87737,                0.90767,                0.94159,                0.58418,                0.75842,                0.77117,                0.78122,                0.32959,                 1.1715,                 1.3853,                 0.5742,                0.85243,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.1942,                  1.444,                0.57416,                0.85022,                0.85757,                0.91986,                0.94097,                 0.5839,                0.79173,                0.71527,                0.79089,                0.33521,                  1.201,                 1.4027,                0.56963,                0.85546,              0.0014852,              0.0014852,              0.0014852
