                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.7231,                 2.0836,                 0.9869,                0.91391,                0.77656,                 0.7352,                0.75031,                 0.3962,                0.70209,                0.64962,                0.65859,                 0.2916,                 1.5427,                 1.8353,                0.85443,                0.88519,              0.0017387,              0.0017387,              0.0017387
                     73,                 1.7295,                 1.9624,                0.97168,                0.90465,                0.77656,                 0.7352,                0.75031,                 0.3962,                0.70209,                0.64962,                0.65859,                 0.2916,                 1.5427,                 1.8353,                0.85443,                0.88519,              0.0017317,              0.0017317,              0.0017317
                     74,                 1.8058,                 2.0436,                0.98045,                0.91071,                0.69716,                0.76735,                0.74314,                0.41569,                0.64656,                0.69872,                0.66837,                0.32388,                 1.5017,                 1.8401,                0.86273,                0.88377,              0.0017245,              0.0017245,              0.0017245
                     75,                 1.7251,                 2.1509,                0.99929,                0.92583,                0.69716,                0.76735,                0.74314,                0.41569,                0.64656,                0.69872,                0.66837,                0.32388,                 1.5017,                 1.8401,                0.86273,                0.88377,              0.0017173,              0.0017173,              0.0017173
                     76,                 1.8019,                 2.3196,                 1.0384,                0.94293,                0.69716,                0.76735,                0.74314,                0.41569,                0.64656,                0.69872,                0.66837,                0.32388,                 1.5017,                 1.8401,                0.86273,                0.88377,                0.00171,                0.00171,                0.00171
                     77,                 1.7582,                 2.2403,                  1.015,                 0.9146,                0.69716,                0.76735,                0.74314,                0.41569,                0.64656,                0.69872,                0.66837,                0.32388,                 1.5017,                 1.8401,                0.86273,                0.88377,              0.0017027,              0.0017027,              0.0017027
                     78,                 1.6654,                 1.9226,                0.97466,                0.90471,                0.77847,                0.72085,                0.75492,                0.42872,                0.68861,                0.63791,                0.66683,                0.32156,                 1.4285,                 1.6309,                0.83683,                0.87776,              0.0016952,              0.0016952,              0.0016952
                     79,                 1.6173,                 1.9164,                0.98301,                0.90349,                0.77847,                0.72085,                0.75492,                0.42872,                0.68861,                0.63791,                0.66683,                0.32156,                 1.4285,                 1.6309,                0.83683,                0.87776,              0.0016877,              0.0016877,              0.0016877
                     80,                 1.7742,                 2.0408,                 1.0167,                0.91458,                0.77847,                0.72085,                0.75492,                0.42872,                0.68861,                0.63791,                0.66683,                0.32156,                 1.4285,                 1.6309,                0.83683,                0.87776,              0.0016801,              0.0016801,              0.0016801
                     81,                 1.5889,                 1.8542,                0.99629,                 0.9103,                0.77847,                0.72085,                0.75492,                0.42872,                0.68861,                0.63791,                0.66683,                0.32156,                 1.4285,                 1.6309,                0.83683,                0.87776,              0.0016724,              0.0016724,              0.0016724
                     82,                 1.6394,                 1.8354,                0.96034,                0.92378,                0.73289,                0.77391,                0.77211,                0.42258,                0.70219,                0.71795,                0.68124,                0.34545,                 1.4689,                 1.6766,                0.85314,                 0.8854,              0.0016647,              0.0016647,              0.0016647
                     83,                 1.7225,                 2.0134,                0.92877,                0.90924,                0.73289,                0.77391,                0.77211,                0.42258,                0.70219,                0.71795,                0.68124,                0.34545,                 1.4689,                 1.6766,                0.85314,                 0.8854,              0.0016569,              0.0016569,              0.0016569
                     84,                 1.5779,                 2.0051,                0.99777,                 0.9213,                0.73289,                0.77391,                0.77211,                0.42258,                0.70219,                0.71795,                0.68124,                0.34545,                 1.4689,                 1.6766,                0.85314,                 0.8854,               0.001649,               0.001649,               0.001649
