                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.2868,                 1.5183,                0.65391,                0.85364,                0.78617,                0.88462,                0.90453,                0.54086,                0.69161,                0.74359,                0.77482,                0.32769,                 1.3545,                 1.5021,                0.65547,                 0.9062,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.2432,                 1.5838,                0.63598,                0.86291,                0.81253,                0.88462,                0.91038,                0.59042,                0.76299,                0.72436,                0.79729,                0.33926,                 1.1771,                 1.4553,                0.61049,                0.89301,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.2394,                 1.5168,                0.62399,                0.85567,                0.85168,                0.80979,                0.90519,                0.58273,                0.76106,                0.73505,                0.79723,                0.34294,                 1.1844,                 1.4456,                0.61167,                 0.8869,               0.001406,               0.001406,               0.001406
                     92,                 1.1512,                 1.4213,                0.60786,                0.85186,                0.79204,                0.88462,                0.89102,                0.56284,                 0.7254,                0.78846,                0.80081,                0.34168,                 1.2272,                 1.5241,                0.62276,                0.89945,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.2333,                 1.5443,                0.61152,                0.85222,                0.84829,                 0.8141,                0.89434,                0.53129,                0.76246,                0.73077,                0.78178,                0.33208,                 1.3452,                 1.5652,                0.63525,                 0.9086,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.1816,                 1.4774,                0.60822,                0.85458,                0.85024,                0.84615,                0.89908,                0.53431,                0.76278,                0.76282,                 0.7907,                0.33563,                 1.3315,                  1.528,                0.64215,                0.90701,              0.0013862,              0.0013862,              0.0013862
                     95,                 1.1683,                 1.4564,                 0.5955,                0.85704,                0.84276,                0.85894,                0.90611,                0.57918,                0.79712,                0.80769,                0.82988,                 0.3858,                 1.2145,                 1.3777,                0.62308,                0.89789,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.1891,                 1.4528,                0.59931,                0.84544,                0.82499,                0.86538,                0.91363,                0.57718,                0.77652,                0.77957,                0.82179,                0.37099,                 1.2011,                 1.4162,                0.62008,                0.89889,               0.001373,               0.001373,               0.001373
                     97,                 1.2386,                 1.5065,                0.62827,                0.85715,                 0.8769,                0.76923,                 0.8998,                0.51557,                0.71221,                0.73077,                0.76439,                0.30644,                 1.3471,                 1.6809,                0.65913,                0.91242,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.1913,                  1.459,                0.60168,                0.84393,                0.77749,                0.89594,                0.90183,                 0.5457,                0.72154,                0.73718,                0.77689,                0.31977,                 1.2908,                 1.5752,                0.63748,                0.90834,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.2791,                 1.5624,                0.63572,                0.85038,                0.79913,                 0.9181,                0.91065,                0.58503,                 0.7425,                0.75783,                0.80795,                0.35953,                 1.1873,                 1.3198,                0.60535,                0.89648,              0.0013532,              0.0013532,              0.0013532
                    100,                 1.1652,                 1.4622,                0.60481,                0.85103,                0.88292,                0.80769,                0.90129,                0.55334,                0.80334,                0.66667,                0.79198,                0.34134,                 1.3121,                 1.4882,                0.62307,                0.90935,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.2714,                 1.4725,                0.61802,                0.84284,                 0.8814,                0.80991,                0.90196,                0.56588,                0.82847,                0.65021,                0.79136,                0.34367,                  1.233,                 1.5262,                0.60585,                0.90322,                0.00134,                0.00134,                0.00134
